Class,Subject,Book,Chapter,PDF URL,Book Index URL
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 2,https://ncert.nic.in/textbook/pdf/gees102.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 3,https://ncert.nic.in/textbook/pdf/gees103.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 4,https://ncert.nic.in/textbook/pdf/gees104.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 5,https://ncert.nic.in/textbook/pdf/gees105.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 6,https://ncert.nic.in/textbook/pdf/gees106.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 7,https://ncert.nic.in/textbook/pdf/gees107.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 8,https://ncert.nic.in/textbook/pdf/gees108.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 9,https://ncert.nic.in/textbook/pdf/gees109.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 10,https://ncert.nic.in/textbook/pdf/gees110.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 11,https://ncert.nic.in/textbook/pdf/gees111.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 12,https://ncert.nic.in/textbook/pdf/gees112.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
